content_type,number_of_peers,opt_type,runtime_in_ms,success,objective,avg_delay
VIDEO,2,DIR,0.1161,1,400.0000,40.0722
VIDEO,2,HEU,1.3545,1,400.0000,40.0722
VIDEO,2,ILP,971.1583,1,242.0000,44.6574
VIDEO,2,MST,16.1078,1,400.0000,40.0722
AUDIO,2,DIR,0.0095,1,400.0000,40.0722
AUDIO,2,HEU,1.1969,1,400.0000,40.0722
AUDIO,2,ILP,946.4450,1,242.0000,44.6574
AUDIO,2,MST,12.2759,1,400.0000,40.0722
MESSAGING,2,DIR,0.0083,1,400.0000,40.0722
MESSAGING,2,HEU,1.0972,1,400.0000,40.0722
MESSAGING,2,ILP,912.9834,1,242.0000,765.1500
MESSAGING,2,MST,11.3316,1,400.0000,40.0722
VIDEO,3,DIR,0.1307,1,600.1550,62.4775
VIDEO,3,HEU,1.9779,1,410.3100,110.6680
VIDEO,3,ILP,3400.9075,1,243.1550,67.4986
VIDEO,3,MST,16.1154,1,410.3100,110.6680
AUDIO,3,DIR,0.0119,1,600.1550,62.4775
AUDIO,3,HEU,2.3732,1,410.3100,110.6680
AUDIO,3,ILP,2965.3320,1,243.1550,67.4986
AUDIO,3,MST,11.9529,1,410.3100,110.6680
MESSAGING,3,DIR,0.0117,1,600.1550,62.4775
MESSAGING,3,HEU,2.2161,1,410.3100,110.6680
MESSAGING,3,ILP,3430.6772,1,243.1550,67.4986
MESSAGING,3,MST,12.3875,1,410.3100,110.6680
VIDEO,4,DIR,0.1240,1,900.1550,71.9949
VIDEO,4,HEU,3.4838,1,510.4650,136.1407
VIDEO,4,ILP,11338.6042,1,250.1550,80.5572
VIDEO,4,MST,14.4966,1,510.4650,136.1407
AUDIO,4,DIR,0.0129,1,900.1550,71.9949
AUDIO,4,HEU,2.9850,1,610.3100,109.8955
AUDIO,4,ILP,10917.8529,1,250.1550,80.5572
AUDIO,4,MST,8.6467,0,0.0000,0.0000
MESSAGING,4,DIR,0.0117,1,900.1550,71.9949
MESSAGING,4,HEU,2.0342,1,510.4650,136.1407
MESSAGING,4,ILP,16362.0601,1,250.1550,80.7032
MESSAGING,4,MST,11.6055,1,510.4650,136.1407
VIDEO,5,DIR,0.1194,1,1101.1550,63.8104
VIDEO,5,HEU,4.1535,1,511.6200,135.9338
VIDEO,5,ILP,27334.9521,1,251.1550,71.4186
